Player.NHL,Mid.Age,Season,Season.N,Position,Position.N,Team,GP,Total.TOI,EV.TOI,G,A1,A2,Points,Tango,ixG,FO.Diff,iPENT,iPEND,RelCF60,RelCA60,RelCDiff,Total.GS
ALEX.FROLOV,25,20072008,1,L,1,L.A,71,1322.21,978.56,23,26,18,67,262,18.66,-7,11,10,11.09,0.07,11.02,54.55
ALEX.FROLOV,26,20082009,2,L,1,L.A,77,1527.37,987.33,32,13,14,59,286,25.22,-1,16,19,3.05,1.42,1.63,56.75
ALEX.FROLOV,27,20092010,3,L,1,L.A,81,1490.66,1107.42,19,20,12,51,283,19.27,2,11,18,2.11,-5.28,7.39,56.1
ALEX.FROLOV,28,20102011,4,L,1,NYR,43,619.17,502.35,7,5,4,16,118,8.95,-5,4,4,4.94,-1.62,6.56,19.02
ALEX.GALCHENYUK,19,20122013,6,C,1,MTL,48,590.89,513.07,9,14,4,27,134,9.88,-20,11,5,1.63,6.37,-4.74,28.95
ALEX.GALCHENYUK,19,20132014,7,C,1,MTL,65,933.29,765.06,13,13,5,31,180,14.44,-5,13,13,3.37,2.63,0.74,25.74
ALEX.GALCHENYUK,20,20142015,8,C,1,MTL,80,1310.93,1046.24,20,15,11,46,280,18.99,-10,17,19,8.38,1.17,7.21,49.41
ALEX.GALCHENYUK,21,20152016,9,C,1,MTL,82,1331.42,1027.08,30,16,10,56,330,23.17,-31,11,17,7.86,2.94,4.92,63.65
ALEX.GALCHENYUK,22,20162017,10,C,1,MTL,61,970.27,782.21,17,16,11,44,181,11.65,-94,12,6,1.56,6.79,-5.23,37.05
ALEX.GOLIGOSKI,22,20072008,1,D,2,PIT,3,41.72,29.82,0,1,1,2,3,0.39,0,1,0,22.9,0.25,22.65,1.7
ALEX.GOLIGOSKI,23,20082009,2,D,2,PIT,45,817.83,590.38,6,8,6,20,132,3.48,0,6,8,6.06,-9.94,16,24.7
ALEX.GOLIGOSKI,24,20092010,3,D,2,PIT,68,1452.74,985.08,8,13,15,36,223,6.02,0,11,11,2.93,3.29,-0.36,40.24
ALEX.GOLIGOSKI,25,20102011,4,D,2,DAL/PIT,83,1833.65,1267.74,14,13,19,46,378,9.49,0,21,12,5.47,-0.01,5.48,57.37
ALEX.GOLIGOSKI,26,20112012,5,D,2,DAL,71,1611.62,1191.4,9,13,8,30,329,7.57,0,8,9,8.68,-7.12,15.8,44.84
ALEX.GOLIGOSKI,27,20122013,6,D,2,DAL,47,1050.35,783.5,3,11,13,27,199,5.3,0,9,11,6.48,-0.76,7.24,28.84
ALEX.GOLIGOSKI,28,20132014,7,D,2,DAL,81,1968.27,1371.19,6,19,17,42,292,7.94,-1,14,11,-2.07,-2.32,0.25,48.43
ALEX.GOLIGOSKI,29,20142015,8,D,2,DAL,81,1922.21,1398.19,4,17,15,36,278,7.33,0,12,13,4.04,-1.26,5.3,52.55
ALEX.GOLIGOSKI,30,20152016,9,D,2,DAL,82,1946.64,1473.65,5,14,18,37,293,5.39,0,18,10,9.32,4.16,5.16,53.83
ALEX.GOLIGOSKI,31,20162017,10,D,2,ARI,82,1906.33,1419.39,6,14,16,36,229,5.16,0,14,9,0.88,0.47,0.41,20.38
ALEX.GRANT,25,20132014,7,D,2,ANA,2,24.35,23.21,2,0,0,2,5,0.08,0,1,0,29.44,5.57,23.87,2.48
